marketCategory,year,qtr,gearGroup,portComplex,species,live,comLands
252,1994,3,HKL,OSF,GPHR,N,26
225,1996,3,NET,OSD,UDAB,N,1007
247,1996,2,HKL,CRS,RSTN,N,51
240,1992,4,TWL,MRO,UTRB,N,357
211,1991,4,TWL,CRS,DOVR,N,289214
675,2001,4,HKL,MNT,RDBD,N,72
261,2001,3,FPT,BRG,CBZN,N,6
165,2000,4,TWL,MRO,ASRK,N,116
269,2000,3,TWL,MNT,WDOW,N,15435
290,2000,3,HKL,CRS,KLPG,N,310
962,1998,2,HKL,OSF,KLPR,N,52
253,1992,3,NET,OSB,BCAC,N,33306
254,1993,1,NET,OSF,GSRK,N,27
250,1991,1,TWL,ERK,STRK,N,892
959,1993,4,HKL,OSF,GPHR,N,142
222,1991,4,NET,MRO,CHLB,N,7718
174,1994,1,NET,MRO,SHRK,N,89
263,2000,2,FPT,MRO,GPHR,N,25
245,1998,2,NET,OLA,CWCD,N,236
222,1998,4,TWL,OLA,CHLB,N,4638
247,1997,2,TWL,MNT,CNRY,N,633
152,1994,3,HKL,OSF,DSRK,N,185
250,1994,2,NET,OSB,CLPR,N,4381
250,1995,4,TWL,BDG,SNOS,N,3148
269,1993,2,TWL,MRO,BLGL,N,299
207,1992,4,TWL,MRO,REX,N,16562
209,1992,2,TWL,OSB,PTRL,N,44
962,1994,4,HKL,MNT,BYEL,N,863
957,2000,4,HKL,MNT,URCK,N,35
205,1999,3,TWL,MRO,SSOL,N,313
269,1997,4,HKL,MRO,WDOW,N,669
250,1997,2,TWL,OSF,RDBD,N,296
245,1994,1,HKL,OLA,CWCD,N,3861
254,1996,4,TWL,BDG,CLPR,N,154
255,2001,3,HKL,MNT,GSPT,N,150
195,2001,2,TWL,CRS,LCOD,N,7437
654,2001,2,TWL,CRS,GSRK,N,166
262,2001,3,TWL,ERK,THDS,N,11823
250,2000,4,HKL,OLA,SPKL,N,144
960,1998,1,TWL,ERK,SBLY,N,794
250,1991,1,NET,MRO,BANK,N,12121
195,1993,3,HKL,MRO,LCOD,N,14837
262,1995,1,TWL,BRG,SSPN,N,10847
290,1999,3,FPT,MRO,KLPG,N,22
665,1999,1,HKL,MRO,BDRK,N,144
250,1995,2,FPT,OSD,URCK,N,1593
195,1991,2,NET,OLA,LCOD,N,15408
675,1994,1,HKL,ERK,RDBD,N,74
190,2001,1,HKL,MRO,SABL,N,2
250,1999,2,HKL,OSB,BCAC,N,101
153,2000,4,HKL,MRO,LSRK,N,17
959,1997,2,HKL,OSD,BCAC,N,4
209,1995,4,TWL,MRO,PTRL,N,59729
960,1999,1,HKL,BDG,URCK,N,23
959,1998,2,HKL,OLA,BANK,N,38
254,1993,2,TWL,MNT,WDOW,N,27
959,1996,2,HKL,OLA,CNRY,N,4801
253,1996,2,HKL,OSF,CLPR,N,3
190,1996,1,TWL,MRO,SABL,N,97507
975,2001,2,TWL,CRS,GSRK,N,1914
175,1997,1,HKL,OSD,USKT,N,56
250,1998,1,TWL,ERK,SNOS,N,2729
254,1996,4,HKL,OLA,CLPR,N,255
663,1998,2,TWL,MNT,BANK,N,2345
960,1998,2,HKL,BDG,GBLC,N,55
255,1994,2,HKL,BRG,GSPT,N,6004
265,1992,1,HKL,OSF,YEYE,N,764
195,1992,2,HKL,MNT,LCOD,N,19578
155,1998,2,NET,OSB,SHRK,N,3029
959,1993,4,TWL,CRS,SHRP,N,103
230,2001,4,TWL,OSF,UFLT,N,80
960,1992,3,HKL,MNT,VRML,N,10
222,1991,3,TWL,BDG,CHLB,N,9787
250,1996,2,NET,OSB,OLVE,N,5
959,1996,4,NET,OSB,BRNZ,N,10
153,1995,3,HKL,ERK,LSRK,N,12
250,1993,4,HKL,OSD,GSPT,N,53
960,1992,3,HKL,MNT,CLPR,N,297
250,1991,4,TWL,ERK,GSRK,N,593
250,1992,2,HKL,OSD,BCAC,N,7423
254,2001,1,TWL,MNT,SHRP,N,101
255,1997,3,TWL,OSF,GSPT,N,2764
250,1995,4,HKL,OSB,BYEL,N,672
190,1995,4,NET,MNT,SABL,N,6403
250,1992,2,TWL,MNT,SBLY,N,85
230,1993,4,TWL,OSF,UFLT,N,3185
203,1991,2,TWL,OSF,RSOL,N,1229
250,1991,4,HKL,OLA,COPP,N,2875
250,1993,2,HKL,ERK,WDOW,N,633
254,2000,2,HKL,OSF,CLPR,N,148
959,1991,1,NET,OSD,CMEL,N,23
153,2000,1,TWL,OSF,LSRK,N,734
269,1993,3,TWL,MNT,WDOW,N,30490
962,1994,2,HKL,OSF,GPHR,N,139
247,2001,1,TWL,ERK,CNRY,N,128
975,2000,4,TWL,MNT,BANK,N,5475
959,1992,2,HKL,MRO,GSRK,N,409
