sampleNumber,clusterNumber,species,weight,year,qtr,portComplex,gearGroup,marketCategory,live
199706063,2,DBRK,34,1997,3,BRG,TWL,250,N
199706064,1,COPP,50,1997,3,BRG,HKL,655,N
199706064,2,COPP,51,1997,3,BRG,HKL,655,N
199706065,1,CHNA,16,1997,3,BRG,HKL,258,N
199706065,1,QLBK,34,1997,3,BRG,HKL,258,N
199706065,2,CHNA,8,1997,3,BRG,HKL,258,N
199706065,2,QLBK,42,1997,3,BRG,HKL,258,N
199706066,1,CNRY,30,1997,3,BRG,HKL,247,N
199706066,1,VRML,20,1997,3,BRG,HKL,247,N
199706066,2,CNRY,33,1997,3,BRG,HKL,247,N
199706066,2,VRML,17,1997,3,BRG,HKL,247,N
199706067,1,YEYE,50,1997,3,BRG,HKL,265,N
199706067,2,YEYE,50,1997,3,BRG,HKL,265,N
199706068,1,LSPN,25,1997,3,BRG,TWL,678,N
199706069,1,YEYE,50,1997,3,BRG,HKL,265,N
199706069,2,YEYE,50,1997,3,BRG,HKL,265,N
199706070,1,CNRY,50,1997,3,BRG,HKL,247,N
199706070,2,CNRY,50,1997,3,BRG,HKL,247,N
199706071,1,BLGL,50,1997,3,BRG,TWL,250,N
199706072,1,WDOW,50,1997,3,BRG,TWL,269,N
199706072,2,WDOW,50,1997,3,BRG,TWL,269,N
199706073,1,BANK,10,1997,3,BRG,TWL,250,N
199706073,1,BLGL,2,1997,3,BRG,TWL,250,N
199706073,1,CLPR,35,1997,3,BRG,TWL,250,N
199706073,1,GSPT,3,1997,3,BRG,TWL,250,N
199706073,2,BANK,9,1997,3,BRG,TWL,250,N
199706073,2,CLPR,40,1997,3,BRG,TWL,250,N
199706073,2,SHRP,1,1997,3,BRG,TWL,250,N
199706074,1,BANK,32,1997,4,BRG,TWL,250,N
199706074,1,CLPR,7,1997,4,BRG,TWL,250,N
199706074,1,DBRK,10,1997,4,BRG,TWL,250,N
199706074,1,POP,1,1997,4,BRG,TWL,250,N
199706074,2,BANK,37,1997,4,BRG,TWL,250,N
199706074,2,CLPR,1,1997,4,BRG,TWL,250,N
199706074,2,DBRK,10,1997,4,BRG,TWL,250,N
